scenario,height_m,sir_db
Ground 0 m,0.0,21.147856801374544
Ground 0 m,0.0,63.39400929005141
Ground 0 m,0.0,25.17068854474431
Ground 0 m,0.0,46.32736282528147
Ground 0 m,0.0,-14.785724825606687
Ground 0 m,0.0,29.119954904255827
Ground 0 m,0.0,11.896629922829165
Ground 0 m,0.0,72.4851997698281
Ground 0 m,0.0,44.90476261084875
Ground 0 m,0.0,26.98216530591111
Ground 0 m,0.0,43.42549956606928
Ground 0 m,0.0,35.59486041963718
Ground 0 m,0.0,8.084827096038739
Ground 0 m,0.0,-2.9135937799956952
Ground 0 m,0.0,20.86377522342985
Ground 0 m,0.0,47.62305664361271
Ground 0 m,0.0,100.8034061959615
Ground 0 m,0.0,25.01555403910045
Ground 0 m,0.0,26.344014812436786
Ground 0 m,0.0,23.99527553406388
Ground 0 m,0.0,24.30309115479575
Ground 0 m,0.0,17.96433265642641
Ground 0 m,0.0,6.914635584563085
Ground 0 m,0.0,20.497799911315717
Ground 0 m,0.0,32.49094396809911
Ground 0 m,0.0,-4.789959466147551
Ground 0 m,0.0,39.5208994348599
Ground 0 m,0.0,46.67804346810342
Ground 0 m,0.0,16.193904844669593
Ground 0 m,0.0,33.15351031637394
Ground 0 m,0.0,79.6321308657015
Ground 0 m,0.0,26.18058522961742
Ground 0 m,0.0,42.367885572225255
Ground 0 m,0.0,18.0250458895382
Ground 0 m,0.0,-0.6337660094064579
Ground 0 m,0.0,12.58293182481218
Ground 0 m,0.0,-15.611942666896216
Ground 0 m,0.0,43.44092890382589
Ground 0 m,0.0,19.406270174714738
Ground 0 m,0.0,31.876569697140766
